"Name","Party"
"Laura Smyth","Labor"
"Laurie Ferguson","Labor"
"Libby Coker","Labor"
"Linda Burney","Labor"
"Lindsay Tanner","Labor"
"Lisa Chesters","Labor"
"Llew O'Brien","National"
"Louise Markus","Liberal"
"Louise Miller-Frost","Labor"
"Lucy Wicks","Liberal"
"Luke Gosling","Labor"
"Luke Hartsuyker","National"
"Luke Howarth","Liberal"
"Luke Simpkins","Liberal"
"Madeleine King","Labor"
"Mal Brough","Liberal"
"Mal Washer","Liberal"
"Malcolm Turnbull","Liberal"
"Margaret May","Liberal"
"Maria Vamvakinou","Labor"
"Marion Scrymgour","Labor"
"Mark Baker","Liberal"
"Mark Butler","Labor"
"Mark Coulton","-"
"Mark Dreyfus","Labor"
"Mark Vaile","National"
"Martin Ferguson","Labor"
"Mary Doyle","Labor"
"Matt Burnell","Labor"
"Matt Keogh","Labor"
"Matt Thistlethwaite","Labor"
"Matt Williams","Liberal"
"Max Chandler-Mather","Greens"
"Maxine McKew","Labor"
"Melissa McIntosh","Liberal"
"Melissa Parke","Labor"
"Melissa Price","Liberal"
"Meryl Swanson","Labor"
"Michael Danby","Labor"
"Michael Ferguson","Liberal"
"Michael Hatton","Labor"
"Michael Johnson","Liberal"
"Michael Keenan","Liberal"
"Michael McCormack","National"
"Michael Sukkar","Liberal"
"Michelle Ananda-Rajah","Labor"
"Michelle Landry","National"
"Michelle Rowland","Labor"
"Mike Freelander","Labor"
"Mike Kelly","Labor"
"Mike Symon","Labor"
"Milton Dick","-"
"Monique Ryan","Ind"
"Natasha Griggs","Liberal"
"Nick Champion","Labor"
"Nickolas Varvaris","Liberal"
"Nicola Roxon","Labor"
"Nicolle Flint","Liberal"
"Nola Marino","Liberal"
"Pat Conaghan","National"
"Pat Conroy","Labor"
"Pat Farmer","Liberal"
"Patrick Gorman","Labor"
"Patrick Secker","Liberal"
"Paul Fletcher","Liberal"
"Paul Neville","Liberal National"
"Peta Murphy","Labor"
"Peter Andren","Independent"
"Peter Costello","Liberal"
"Peter Dutton","Liberal"
"Peter Garrett","Labor"
"Peter Hendy","Liberal"
"Peter Khalil","Labor"
"Peter Lindsay","Liberal"
"Peter McGauran","National"
"Peter Slipper","Independent"
"Petro Georgiou","Liberal"
"Philip Ruddock","Liberal"
"Phillip Barresi","Liberal"
"Phillip Thompson","Liberal National"
"Rebekha Sharkie","Centre Alliance"
"Richard Marles","Labor"
"Rick Wilson","Liberal"
"Rob Mitchell","Labor"
"Robert McClelland","Labor"
"Robert Oakeshott","Independent"
"Rod Sawford","Labor"
"Roger Price","Labor"
"Ross Hart","Labor"
"Ross Vasta","Liberal"
"Rowan Ramsey","Liberal"
"Russell Broadbent","Ind"
"Russell Matheson","Liberal"
"Sally Sitou","Labor"
"Sam Birrell","National"
"Sam Lim","Labor"
"Sam Rae","Labor"
"Sarah Henderson","Liberal"
"Scott Buchholz","Liberal"
"Scott Morrison","Liberal"
"Sharman Stone","Liberal"
"Sharon Bird","Labor"
"Sharon Claydon","Labor"
"Sharon Grierson","Labor"
"Sharryn Jackson","Labor"
"Shayne Neumann","Labor"
"Sid Sidebottom","Labor"
"Simon Crean","Labor"
"Sophie Mirabella","Liberal"
"Sophie Scamps","Ind"
"Stephen Bates","Greens"
"Stephen Jones","Labor"
"Stephen Smith","Labor"
"Steve Georganas","Labor"
"Steve Gibbons","Labor"
"Steve Irons","Liberal"
"Steven Ciobo","Liberal"
"Stewart McArthur","Liberal"
"Stuart Henry","Liberal"
"Stuart Robert","Liberal"
"Susan Lamb","Labor"
"Susan Templeman","Labor"
"Sussan Ley","Liberal"
"Tania Lawrence","Labor"
"Tanya Plibersek","Labor"
"Ted O'Brien","Liberal"
"Teresa Gambaro","Liberal National"
"Terri Butler","Labor"
"Terry Young","Liberal National"
"Tim Hammond","Labor"
"Tim Watts","Labor"
"Tim Wilson","Liberal"
"Tony Abbott","Liberal"
"Tony Burke","Labor"
"Tony Crook","National"
"Tony Pasin","Liberal"
"Tony Smith","Liberal"
"Tony Windsor","Independent"
"Tony Zappia","Labor"
"Tracey Roberts","Labor"
"Trent Zimmerman","Liberal"
"Trevor Evans","Liberal National"
"Trish Draper","Liberal"
"Vince Connelly","Liberal"
"Warren Entsch","Liberal"
"Warren Snowdon","Labor"
"Warren Truss","Liberal National"
"Wayne Swan","Labor"
"Wilson Tuckey","Liberal"
"Wyatt Roy","Liberal National"
"Yvette D'Ath","Labor"
"Zali Steggall","Ind"
"Zaneta Mascarenhas","Labor"
"Zoe Daniel","Ind"
"Zoe McKenzie","Liberal"
