"Name","PartyFinal","PartyOpenParl","PartyWiki","PartyWikiClean","PartyfromText"
"Colin Boyce","Liberal National","Liberal National",NA,NA,"Liberal National"
"Craig Emerson","Labor",NA,"Labor Party","Labor","Labor"
"Craig Kelly","Independent",NA,"Independent (2021); Liberal (2010–2021); United Australia (2021–2024)","Independent","Liberal"
"Craig Laundy","Liberal",NA,"Liberal Party","Liberal","Liberal"
"Craig Thomson","Labor",NA,"Labor (2007–2012)","Labor","Labor"
"Dai Le","Ind","Ind",NA,NA,"Ind"
"Damian Drum","National",NA,"National Party","National","National"
"Damian Hale","Labor",NA,"Australian Labor Party","Labor","Labor"
"Dan Repacholi","Labor","Labor",NA,NA,"Labor"
"Dan Tehan","Liberal","Liberal",NA,NA,"Liberal"
"Daniel Mulino","Labor","Labor",NA,NA,"Labor"
"Danna Vale","Liberal",NA,"Liberal","Liberal","Liberal"
"Darren Cheeseman","Labor",NA,"Labor","Labor","Labor"
"Darren Chester","National","National",NA,NA,"Labor"
"Daryl Melham","Labor",NA,"Australian Labor Party","Labor","Labor"
"Dave Sharma","Liberal",NA,"Liberal[1]","Liberal","Liberal"
"Dave Tollner","Liberal",NA,"Country Liberal Party / Liberal","Liberal","Country"
"David Bradbury","Labor",NA,"Australian Labor Party","Labor","Labor"
"David Coleman","Liberal","Liberal",NA,NA,"Liberal"
"David Fawcett","Liberal",NA,"Liberal","Liberal","Liberal"
"David Feeney","Labor",NA,"Labor","Labor","Labor"
"David Gillespie","National","National",NA,NA,"National"
"David Hawker","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"David Jull","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"David Littleproud","National","National",NA,NA,"National"
"David Smith","Labor","Labor",NA,NA,"Labor"
"De-Anne Kelly","National",NA,"National Party of Australia","National","Liberal"
"Deborah O'Neill","Labor",NA,"Labor Party","Labor","Labor"
"Dennis Jensen","Liberal",NA,"Liberal (to 2016)Conservatives (2017–2019)","Liberal","Liberal"
"Dick Adams","Labor",NA,"Labor Party","Labor","Labor"
"Don Randall","Liberal",NA,"Liberal","Liberal","Liberal"
"Duncan Kerr","Labor",NA,"Australian Labor Party","Labor","Labor"
"Ed Husic","Labor","Labor",NA,NA,"Labor"
"Elizabeth Watson-Brown","Greens","Greens",NA,NA,"Greens"
"Emma Husar","Labor",NA,"Australian Labor Party","Labor","Labor"
"Emma McBride","Labor","Labor",NA,NA,"Labor"
"Eric Hutchinson","Liberal",NA,"Liberal","Liberal","Liberal"
"Ewen Jones","Liberal National",NA,"Liberal National Party","Liberal National","Liberal"
"Fiona Martin","Liberal",NA,"Liberal Party","Liberal","Liberal"
"Fiona Phillips","Labor","Labor",NA,NA,"Labor"
"Fiona Scott","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Fran Bailey","Liberal",NA,"Liberal","Liberal","Liberal"
"Gai Brodtmann","Labor",NA,"Australian Labor Party (ACT Branch)","Labor","Labor"
"Garth Hamilton","Liberal National","Liberal National",NA,NA,"Liberal National"
"Gary Gray","Labor",NA,"Australian Labor Party","Labor","Liberal"
"Gary Hardgrave","Liberal",NA,"Liberal","Liberal","Liberal"
"Gary Nairn","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Gavan O'Connor","Independent",NA,"Labor (1993–2007) Independent (2007)","Independent","Labor"
"Gavin Pearce","Liberal","Liberal",NA,NA,"Liberal"
"Ged Kearney","Labor","Labor",NA,NA,"Labor"
"Geoff Lyons","Labor",NA,"Australian Labor Party","Labor","Labor"
"Geoff Prosser","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"George Christensen","National",NA,"National (until 2022)","National","National"
"Gladys Liu","Liberal",NA,"Liberal","Liberal","Liberal"
"Gordon Reid","Labor","Labor",NA,NA,"Labor"
"Graham Edwards","Labor",NA,"Labor","Labor","Labor"
"Graham Perrett","Labor","Labor",NA,NA,"Labor"
"Greg Combet","Labor",NA,"Australian Labor Party","Labor","Labor"
"Greg Hunt","Liberal",NA,"Liberal","Liberal","Labor"
"Harry Jenkins","Labor",NA,"Australian Labor Party","Labor","Labor"
"Harry Quick","Independent",NA,"Australian Labor Party, Independent","Independent","Ind"
"Helen Haines","Ind","Ind",NA,NA,"Ind"
"Henry Pike","Liberal National","Liberal National",NA,NA,NA
"Ian Goodenough","Liberal","Liberal",NA,NA,"Liberal"
"Ian Macfarlane","Liberal National",NA,"Liberal (federal)Liberal National (state, 2010–present)","Liberal National","Labor"
"Jackie Kelly","Independent",NA,"Liberal Party of Australia (1996–2014)Independent (2014–)","Independent","Liberal"
"James Bidgood","Labor",NA,"Australian Labor Party","Labor","Labor"
"James Stevens","Liberal","Liberal",NA,NA,"Liberal"
"Jamie Briggs","Liberal",NA,"Liberal Party of Australia","Liberal","Labor"
"Jane Prentice","Liberal",NA,"Liberal / LNP","Liberal","Liberal"
"Janelle Saffin","Labor",NA,"Labor Party","Labor","Labor"
"Jason Clare","Labor","Labor",NA,NA,"Labor"
"Jason Falinski","Liberal",NA,"Liberal Party","Liberal","Liberal"
"Jason Wood","Liberal","Liberal",NA,NA,"Liberal"
"Jennie George","Labor",NA,"Labor","Labor","Labor"
"Jenny Macklin","Labor",NA,"Labor","Labor","Labor"
"Jenny Ware","Liberal","Liberal",NA,NA,"Liberal"
"Jerome Laxale","Labor","Labor",NA,NA,"Labor"
"Jill Hall","Labor",NA,"Labor Party","Labor","Labor"
"Jim Chalmers","Labor","Labor",NA,NA,"Liberal"
"Jim Lloyd","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Jim Turnour","Labor",NA,"Labor","Labor","Labor"
"Joanna Gash","National",NA,"LiberalNationals (2019–)","National","Liberal"
"Joanne Ryan","Labor","Labor",NA,NA,"Labor"
"Jodie Campbell","Labor",NA,"Labor","Labor","Labor"
"Joe Hockey","Liberal",NA,"Liberal","Liberal","Labor"
"Joel Fitzgibbon","Labor",NA,"Labor","Labor","Labor"
"John Alexander","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"John Anderson","National",NA,"National Party of Australia","National","National"
"John Cobb","National",NA,"National Party of Australia","National","National"
"John Forrest","Independent",NA,"Independent (1890–1901),Protectionist (1901–1906),WA Party (1906–1909),Liberal (1909–1917),Nationalist (1917–1918)","Independent","National"
"John Howard","Liberal",NA,"Party Leadership; ; ; Leader of the Liberal PartyIn office30 January 1995 – 29 November 2007DeputyPeter CostelloPreceded byAlexander DownerSucceeded byBrendan NelsonIn office5 September 1985 – 9 May 1989DeputyNeil BrownAndrew PeacockPreceded byAndrew PeacockSucceeded byAndrew PeacockDeputy Leader of the Liberal PartyIn office8 April 1982 – 5 September 1985LeaderMalcolm FraserAndrew PeacockPreceded byPhillip LynchSucceeded byNeil Brown","Liberal","Labor"
"John McVeigh","Liberal",NA,"Liberal","Liberal","Liberal"
"John Murphy","Labor",NA,"Australian Labor Party","Labor","Labor"
